country,year,avg_price_usd,count
Italy,2012,1072329,8
Italy,2013,1464564,4
Italy,2014,1145142,9
Italy,2015,1568832,5
Italy,2016,950874,1
Italy,2017,1779484,8
Italy,2018,1597419,9
Italy,2019,1183100,11
Italy,2020,988690,5
Italy,2021,1062916,11
Italy,2022,824724,36
Italy,2023,856734,60
Italy,2024,1515824,10
Italy,2024,1515824,10
Latvia,all,580908,476
Latvia,2010,287085,4
Latvia,2011,741840,8
Latvia,2012,521148,12
Latvia,2013,701077,11
Latvia,2014,680294,32
Latvia,2015,631181,27
Latvia,2016,389734,8
Latvia,2017,650290,11
Latvia,2018,526482,43
Latvia,2019,953183,39
Latvia,2020,634438,109
Latvia,2021,684423,37
Latvia,2022,394778,87
Latvia,2023,373106,45
Latvia,2024,318470,3
Latvia,2024,318470,3
Lithuania,all,233533,997
Lithuania,2010,248626,17
Lithuania,2011,246607,20
Lithuania,2012,309764,21
Lithuania,2013,261810,27
Lithuania,2014,242405,36
Lithuania,2015,319751,32
Lithuania,2016,322570,41
Lithuania,2017,254167,33
Lithuania,2018,262489,39
Lithuania,2019,250945,35
Lithuania,2020,321025,40
Lithuania,2021,254310,77
Lithuania,2022,232582,224
Lithuania,2023,188413,333
Lithuania,2024,143695,21
Lithuania,2028,227168,1
Lithuania,2024,143695,21
Montenegro,all,355264,754
Montenegro,2010,301338,8
Montenegro,2011,284993,17
Montenegro,2012,278533,25
Montenegro,2013,406720,17
Montenegro,2014,479459,26
Montenegro,2015,416233,50
Montenegro,2016,400524,30
Montenegro,2017,584761,52
Montenegro,2018,396005,57
Montenegro,2019,433474,57
Montenegro,2020,322856,81
Montenegro,2021,314825,63
Montenegro,2022,319305,89
Montenegro,2023,264425,132
Montenegro,2024,279370,31
Montenegro,2025,304550,19
Montenegro,2024,279370,31
N. Cyprus,all,199337,514
N. Cyprus,2010,129652,4
N. Cyprus,2016,285536,4
N. Cyprus,2017,179245,1
N. Cyprus,2018,131810,5
N. Cyprus,2019,88313,2
N. Cyprus,2020,81245,14
N. Cyprus,2021,129165,28
N. Cyprus,2022,137111,61
N. Cyprus,2023,224855,73
N. Cyprus,2024,199460,105
N. Cyprus,2025,220287,129
N. Cyprus,2026,242875,64
N. Cyprus,2027,222792,24
N. Cyprus,2024,199460,105
Poland,all,478734,129
Poland,2010,434123,15
Poland,2011,547906,7
Poland,2012,366484,7
Poland,2013,538849,9
Poland,2014,707574,5
Poland,2015,280069,4
Poland,2016,510343,13
Poland,2017,616932,10
Poland,2018,557132,14
Poland,2019,498150,5
Poland,2020,636286,6
Poland,2021,404611,9
Poland,2022,390513,19
Poland,2023,156675,3
Poland,2024,297664,3
Poland,2024,297664,3
Portugal,all,804114,172
Portugal,2010,257506,1
Portugal,2011,593154,3
Portugal,2012,484967,1
Portugal,2013,361945,1
Portugal,2016,257478,1
Portugal,2019,764389,15
Portugal,2020,1202824,26
Portugal,2021,914106,21
Portugal,2022,782024,40
Portugal,2023,672784,52
Portugal,2024,494549,10
Portugal,2025,2019540,1
Portugal,2024,494549,10
Russia,all,137405,12874
Russia,2010,704358,12
Russia,2011,392737,15
Russia,2012,363467,9
Russia,2013,191341,11
Russia,2014,326861,16
Russia,2015,402929,19
Russia,2016,379032,21
Russia,2017,420372,22
Russia,2018,800616,23
Russia,2019,316816,59
Russia,2020,253622,155
Russia,2021,206116,181
Russia,2022,289136,159
Russia,2023,193719,238
Russia,2024,139132,1260
Russia,2025,122723,6622
Russia,2026,129654,4052
Russia,2024,139132,1260
Serbia,all,133804,20
Serbia,2010,102283,1
Serbia,2014,123850,1
Serbia,2019,108988,1
Serbia,2022,315209,1
Serbia,2023,106276,8
Serbia,2024,146942,8
Serbia,2024,146942,8
Spain,all,722103,1504
Spain,2010,443999,12
Spain,2011,304042,4
Spain,2012,347386,6
Spain,2013,962131,3
Spain,2014,323514,7
Spain,2015,1142294,9
Spain,2016,862278,9
Spain,2017,609625,10
Spain,2018,940547,25
Spain,2019,811017,42
Spain,2020,1001615,60
Spain,2021,854117,105
Spain,2022,840546,164
Spain,2023,621398,337
Spain,2024,661008,420
Spain,2025,704316,257
Spain,2026,1025812,34
Spain,2024,661008,420
Thailand,all,263725,457
Thailand,2010,124663,3
Thailand,2011,151476,3
Thailand,2012,231988,1
Thailand,2014,81655,1
Thailand,2015,145295,9
Thailand,2016,160107,17
Thailand,2017,107913,6
Thailand,2018,247813,17
Thailand,2019,280687,11
Thailand,2020,133708,38
Thailand,2021,260058,28
Thailand,2022,264909,60
Thailand,2023,269007,63
Thailand,2024,429931,77
Thailand,2025,317665,50
Thailand,2026,143754,48
Thailand,2027,329881,17
Thailand,2028,87785,8
Thailand,2024,429931,77
Turkey,all,335048,10520
Turkey,2010,260239,58
Turkey,2011,261226,25
Turkey,2012,300080,46
Turkey,2013,329601,58
Turkey,2014,368028,66
Turkey,2015,327690,109
Turkey,2016,558895,109
Turkey,2017,427411,92
Turkey,2018,478593,122
Turkey,2019,596974,158
Turkey,2020,623004,183
Turkey,2021,448461,297
Turkey,2022,435367,787
Turkey,2023,315916,5425
Turkey,2024,263163,2568
Turkey,2025,432596,409
Turkey,2026,96283,7
Turkey,2027,115160,1
Turkey,2024,263163,2568
United Arab Emirates,all,1010308,1334
United Arab Emirates,2010,326788,1
United Arab Emirates,2012,4779000,1
United Arab Emirates,2017,285000,1
United Arab Emirates,2018,2092000,2
United Arab Emirates,2019,648181,8
United Arab Emirates,2020,865651,12
United Arab Emirates,2021,866161,32
United Arab Emirates,2022,806144,297
United Arab Emirates,2023,842789,149
United Arab Emirates,2024,981574,228
United Arab Emirates,2025,1001357,382
United Arab Emirates,2026,1581173,171
United Arab Emirates,2027,1063452,43
United Arab Emirates,2028,1065571,7
United Arab Emirates,2024,981574,228
United States of America,all,1234640,413
United States of America,2013,1256683,46
United States of America,2014,1601499,36
United States of America,2015,1669847,30
United States of America,2016,906077,39
United States of America,2017,1557177,36
United States of America,2018,828773,38
United States of America,2019,959956,35
United States of America,2020,1406175,46
United States of America,2021,1186154,35
United States of America,2022,852131,39
United States of America,2023,1467575,33
Uzbekistan,all,102266,794
Uzbekistan,2020,435000,1
Uzbekistan,2021,114693,7
Uzbekistan,2022,83308,493
Uzbekistan,2023,232347,124
Uzbekistan,2024,57019,127
Uzbekistan,2025,67563,42
Uzbekistan,2024,57019,127
